i,w,j1,j2,factor_e,exact_e_0,factor_c,calc_e_0,rad
0,0,0.0,1.0,0.2857142857142857,-22.841434054773558,0.2862585034013604,-22.7499735587942,0.0
1,1,0.0174524064372835,0.9998476951563912,0.2857194864098529,-22.888451508741777,0.286439909297052,-22.730314521255668,0.0055555555555555
2,2,0.0348994967025009,0.9993908270190958,0.2857350701239408,-22.92978099462231,0.285986394557823,-22.8351454523284,0.0111111111111111
3,3,0.0523359562429438,0.9986295347545738,0.2857610497136205,-22.96540819432714,0.2862131519274375,-22.76513865114982,0.0166666666666666
4,4,0.0697564737441253,0.9975640502598242,0.2857974941890631,-22.995321361316996,0.2858503401360542,-22.91411850954958,0.0222222222222222
5,5,0.0871557427476581,0.9961946980917455,0.2858445320725357,-23.019511346539375,0.2868027210884353,-22.788336344017747,0.0277777777777777
6,6,0.1045284632676534,0.9945218953682732,0.2859023554657064,-23.03797162664832,0.2859410430839,-22.846120482997748,0.0333333333333333
7,7,0.1218693434051474,0.992546151641322,0.2859712249284333,-23.050698334839105,0.2859410430839,-22.52009379008117,0.0388888888888888
8,8,0.1391731009600654,0.9902680687415704,0.2860514752929077,-23.057690294676306,0.285986394557823,-22.622830424791392,0.0444444444444444
9,9,0.1564344650402308,0.9876883405951378,0.2861435225622618,-23.058949057351636,0.2860317460317458,-22.78002864821508,0.05
10,10,0.1736481776669303,0.984807753012208,0.2862478720733574,-23.054478942871373,0.2860317460317458,-22.844037496338743,0.0555555555555555
11,11,0.1908089953765448,0.981627183447664,0.2863651281408961,-23.04428708575065,0.2862131519274375,-22.771320152969007,0.0611111111111111
12,12,0.2079116908177593,0.9781476007338056,0.2864960054459985,-23.02838348588416,0.2863038548752833,-22.75083772846877,0.0666666666666666
13,13,0.224951054343865,0.9743700647852352,0.2866413424890259,-23.006781065371108,0.2867573696145123,-22.717914683883883,0.0722222222222222
14,14,0.2419218955996677,0.9702957262759964,0.2868021174965952,-22.979495732200807,0.2863038548752833,-22.673823121511727,0.0777777777777777
15,15,0.2588190451025207,0.9659258262890684,0.286979467260026,-22.94654645186271,0.2886167800453513,-20.80232323181649,0.0833333333333333
16,16,0.2756373558169991,0.9612616959383188,0.2871747094914685,-22.90795532812889,0.2866666666666665,-22.31728537458991,0.0888888888888888
17,17,0.2923717047227367,0.9563047559630354,0.2873893694208906,-22.86374769448476,0.2871201814058955,-21.561128423051205,0.0944444444444444
18,18,0.3090169943749474,0.9510565162951536,0.2876252115297435,-22.813952217955183,0.286439909297052,-22.547610965780542,0.1
19,19,0.3255681544571567,0.9455185755993168,0.287884277536044,-22.75860101740709,0.2864852607709749,-22.053439963844983,0.1055555555555555
20,20,0.3420201433256687,0.9396926207859084,0.2881689320245522,-22.69772979881633,0.2875736961451245,-22.601548374700837,0.1111111111111111
21,21,0.3583679495453002,0.9335804264972016,0.2884819174730335,-22.631378010487133,0.2865306122448978,-22.31011063440524,0.1166666666666666
22,22,0.374606593415912,0.9271838545667874,0.2888264208860026,-22.5595890218329,0.2867120181405894,-21.73693211377763,0.1222222222222222
23,23,0.3907311284892737,0.9205048534524404,0.2892061548436941,-22.48241033009356,0.2893424036281178,-20.610856915519392,0.1277777777777777
24,24,0.4067366430758002,0.9135454576426008,0.2896254565515194,-22.399893800329032,0.2865759637188207,-22.167028257152687,0.1333333333333333
25,25,0.4226182617406994,0.90630778703665,0.2900894094948638,-22.31209594523436,0.2874829931972787,-21.32867365179532,0.1388888888888889
26,26,0.4383711467890774,0.898794046299167,0.2906039936502521,-22.219078252851297,0.2953741496598639,-21.09118853226908,0.1444444444444444
27,27,0.4539904997395467,0.8910065241883679,0.2911762719929955,-22.12090757219564,0.2875283446712017,-21.35437493793756,0.15
28,28,0.4694715627858908,0.882947592858927,0.2918146234363081,-22.017656569314056,0.2952380952380952,-21.657944136761916,0.1555555555555555
29,29,0.484809620246337,0.8746197071393957,0.2925290355660071,-21.90940426949869,0.3005442176870748,-20.361016759122645,0.1611111111111111
30,30,0.4999999999999999,0.8660254037844387,0.2933314749227511,-21.796236705571115,0.2975056689342403,-19.903828012556,0.1666666666666666
31,31,0.5150380749100542,0.8571673007021123,0.2942363585935998,-21.678247697625075,0.2902947845804987,-20.02117001141932,0.1722222222222222
32,32,0.5299192642332049,0.848048096156426,0.2952611591749431,-21.55553979685001,0.2888888888888888,-21.29053889976163,0.1777777777777777
33,33,0.5446390350150271,0.838670567945424,0.2964271867316684,-21.42822543569008,0.3368707482993198,-20.11369710937328,0.1833333333333333
34,34,0.5591929034707469,0.8290375725550416,0.297760607629664,-21.296428339530905,0.333424036281179,-20.49513384311608,0.1888888888888888
35,35,0.573576436351046,0.8191520442889918,0.2992937831735279,-21.1602852726405,0.2974149659863945,-20.33486322174181,0.1944444444444444
36,36,0.5877852522924731,0.8090169943749475,0.3010670439956765,-21.019948215084277,0.3625850340136056,-19.768902307049768,0.2
37,37,0.6018150231520483,0.7986355100472928,0.303131063873823,-20.8755871004762,0.3771428571428573,-19.862729314921253,0.2055555555555555
38,38,0.6156614753256583,0.7880107536067219,0.3055500663241033,-20.72739329066858,0.3790476190476191,-20.009020154326556,0.2111111111111111
39,39,0.6293203910498374,0.7771459614569709,0.3084061999662565,-20.575584028640343,0.400498866213152,-19.39496250429809,0.2166666666666666
40,40,0.6427876096865393,0.766044443118978,0.3118055712290762,-20.420408203569774,0.496825396825397,-18.523755715822062,0.2222222222222222
41,41,0.6560590289905073,0.754709580222772,0.3158866514821943,-20.262153895283085,0.4226303854875284,-19.455565367292035,0.2277777777777777
42,42,0.6691306063588582,0.7431448254773942,0.320832119886813,-20.10115835828192,0.4366893424036282,-19.000806203241428,0.2333333333333333
43,43,0.6819983600624985,0.7313537016191705,0.3268857228292718,-19.9378213871196,0.5635374149659866,-18.672685605074275,0.2388888888888889
44,44,0.6946583704589973,0.7193398003386512,0.3343765119317196,-19.772623417207992,0.5342857142857145,-18.838420821824016,0.2444444444444444
45,45,0.7071067811865475,0.7071067811865476,0.3437539792794752,-19.60615031788742,0.5692063492063493,-18.670316342550155,0.25
46,46,0.7193398003386511,0.6946583704589973,0.3556392589285397,-19.439127705618308,0.660408163265306,-18.335660124750877,0.2555555555555555
